CollegeName,Location,Course,Category,Rank,MerirMarks
Silver Oak College Of Engineering & Technology, AMHEDABAD,ELECTRONICS & COMMUNICATION ENGINEERING,TFW,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,INFORMATION TECHNOLOGY,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,INFORMATION TECHNOLOGY,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,INFORMATION TECHNOLOGY,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,INFORMATION TECHNOLOGY,Open,34221,5.81783453
Silver Oak College Of Engineering & Technology, AMHEDABAD,INFORMATION TECHNOLOGY,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,INFORMATION TECHNOLOGY,SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,INFORMATION TECHNOLOGY,TFW,8127,79.1778762
Silver Oak College Of Engineering & Technology, AMHEDABAD,MECHANICAL ENGINEERING,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,MECHANICAL ENGINEERING,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,MECHANICAL ENGINEERING,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,MECHANICAL ENGINEERING,Open,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,MECHANICAL ENGINEERING,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,MECHANICAL ENGINEERING,SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,MECHANICAL ENGINEERING,TFW,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",CIVIL ENGINEERING,DS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",CIVIL ENGINEERING,EVS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",CIVIL ENGINEERING,EWS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",CIVIL ENGINEERING,Open,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",CIVIL ENGINEERING,SC,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",CIVIL ENGINEERING,SEBC,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",CIVIL ENGINEERING,TFW,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",COMPUTER ENGINEERING,DS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",COMPUTER ENGINEERING,EVS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",COMPUTER ENGINEERING,EWS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",COMPUTER ENGINEERING,Open,32678,15.17554586
Smt. S.R. Patel Engineering College," Dabhi,Unjha",COMPUTER ENGINEERING,SC,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",COMPUTER ENGINEERING,SEBC,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",COMPUTER ENGINEERING,TFW,10154,74.49449615
Smt. S.R. Patel Engineering College," Dabhi,Unjha",ELECTRONICS & COMMUNICATION ENGINEERING,DS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",ELECTRONICS & COMMUNICATION ENGINEERING,EVS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",ELECTRONICS & COMMUNICATION ENGINEERING,EWS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",ELECTRONICS & COMMUNICATION ENGINEERING,Open,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",ELECTRONICS & COMMUNICATION ENGINEERING,SC,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",ELECTRONICS & COMMUNICATION ENGINEERING,SEBC,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",ELECTRONICS & COMMUNICATION ENGINEERING,TFW,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",MECHANICAL ENGINEERING,DS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",MECHANICAL ENGINEERING,EVS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",MECHANICAL ENGINEERING,EWS,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",MECHANICAL ENGINEERING,Open,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",MECHANICAL ENGINEERING,SC,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",MECHANICAL ENGINEERING,SEBC,36000,0
Smt. S.R. Patel Engineering College," Dabhi,Unjha",MECHANICAL ENGINEERING,TFW,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,AUTOMOBILE ENGINEERING,DS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,AUTOMOBILE ENGINEERING,EVS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,AUTOMOBILE ENGINEERING,EWS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,AUTOMOBILE ENGINEERING,Open,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,AUTOMOBILE ENGINEERING,SC,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,AUTOMOBILE ENGINEERING,SEBC,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,AUTOMOBILE ENGINEERING,TFW,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,CIVIL ENGINEERING,DS,36000,0
